order_id,customer_id,product_name,order_date
1,1,Pizza,2025-03-01
2,2,"Cheese Burger",2025-03-02
3,3,"Chicken Sandwich",2025-03-03
4,4,"Chicken Pizza",2025-03-04
5,5,"Veggie Burger",2025-03-05
15,3,"Blueberry Pancakes",2025-03-01
16,4,"Strawberry Smoothie",2025-03-12
17,5,"Beef Steak",2025-03-20
27,3,"Blueberry Pancakes",2025-03-01
28,4,"Strawberry Smoothie",2025-03-12
29,5,"Beef Steak",2025-03-20
39,3,"Blueberry Pancakes",2025-03-01
40,4,"Strawberry Smoothie",2025-03-12
41,5,"Beef Steak",2025-03-20
51,3,"Blueberry Pancakes",2025-03-01
52,4,"Strawberry Smoothie",2025-03-12
53,5,"Beef Steak",2025-03-20
63,3,"Blueberry Pancakes",2025-03-01
64,4,"Strawberry Smoothie",2025-03-12
65,5,"Beef Steak",2025-03-20
66,6,"Vegetable Sandwich",2025-03-24
76,3,"Blueberry Pancakes",2025-03-01
77,4,"Strawberry Smoothie",2025-03-12
78,5,"Beef Steak",2025-03-20
79,6,"Vegetable Sandwich",2025-03-24
