order_id,customer_id,product_name,formatted_order_date
1,1,Pizza,"March 1, 2025"
2,2,"Cheese Burger","March 2, 2025"
3,3,"Chicken Sandwich","March 3, 2025"
4,4,"Chicken Pizza","March 4, 2025"
5,5,"Veggie Burger","March 5, 2025"
6,1,Cheeseburger,"November 5, 2024"
7,2,"Pepperoni Pizza","November 18, 2024"
8,3,"BBQ Chicken Wings","December 2, 2024"
9,4,"Vegetable Sandwich","December 22, 2024"
10,5,"Spaghetti Bolognese","January 8, 2025"
11,6,"Sushi Platter","January 19, 2025"
12,7,"Chocolate Milkshake","January 25, 2025"
13,1,"Double Cheeseburger","February 5, 2025"
14,2,"Grilled Chicken Wrap","February 15, 2025"
15,3,"Blueberry Pancakes","March 1, 2025"
16,4,"Strawberry Smoothie","March 12, 2025"
17,5,"Beef Steak","March 20, 2025"
18,1,Cheeseburger,"November 5, 2024"
19,2,"Pepperoni Pizza","November 18, 2024"
20,3,"BBQ Chicken Wings","December 2, 2024"
21,4,"Vegetable Sandwich","December 22, 2024"
22,5,"Spaghetti Bolognese","January 8, 2025"
23,6,"Sushi Platter","January 19, 2025"
24,7,"Chocolate Milkshake","January 25, 2025"
25,1,"Double Cheeseburger","February 5, 2025"
26,2,"Grilled Chicken Wrap","February 15, 2025"
27,3,"Blueberry Pancakes","March 1, 2025"
28,4,"Strawberry Smoothie","March 12, 2025"
29,5,"Beef Steak","March 20, 2025"
30,1,Cheeseburger,"November 5, 2024"
31,2,"Pepperoni Pizza","November 18, 2024"
32,3,"BBQ Chicken Wings","December 2, 2024"
33,4,"Vegetable Sandwich","December 22, 2024"
34,5,"Spaghetti Bolognese","January 8, 2025"
35,6,"Sushi Platter","January 19, 2025"
36,7,"Chocolate Milkshake","January 25, 2025"
37,1,"Double Cheeseburger","February 5, 2025"
38,2,"Grilled Chicken Wrap","February 15, 2025"
39,3,"Blueberry Pancakes","March 1, 2025"
40,4,"Strawberry Smoothie","March 12, 2025"
41,5,"Beef Steak","March 20, 2025"
42,1,Cheeseburger,"November 5, 2024"
43,2,"Pepperoni Pizza","November 18, 2024"
44,3,"BBQ Chicken Wings","December 2, 2024"
45,4,"Vegetable Sandwich","December 22, 2024"
46,5,"Spaghetti Bolognese","January 8, 2025"
47,6,"Sushi Platter","January 19, 2025"
48,7,"Chocolate Milkshake","January 25, 2025"
49,1,"Double Cheeseburger","February 5, 2025"
50,2,"Grilled Chicken Wrap","February 15, 2025"
51,3,"Blueberry Pancakes","March 1, 2025"
52,4,"Strawberry Smoothie","March 12, 2025"
53,5,"Beef Steak","March 20, 2025"
54,1,Cheeseburger,"November 5, 2024"
55,2,"Pepperoni Pizza","November 18, 2024"
56,3,"BBQ Chicken Wings","December 2, 2024"
57,4,"Vegetable Sandwich","December 22, 2024"
58,5,"Spaghetti Bolognese","January 8, 2025"
59,6,"Sushi Platter","January 19, 2025"
60,7,"Chocolate Milkshake","January 25, 2025"
61,1,"Double Cheeseburger","February 5, 2025"
62,2,"Grilled Chicken Wrap","February 15, 2025"
63,3,"Blueberry Pancakes","March 1, 2025"
64,4,"Strawberry Smoothie","March 12, 2025"
65,5,"Beef Steak","March 20, 2025"
66,6,"Vegetable Sandwich","March 24, 2025"
67,1,Cheeseburger,"November 5, 2024"
68,2,"Pepperoni Pizza","November 18, 2024"
69,3,"BBQ Chicken Wings","December 2, 2024"
70,4,"Vegetable Sandwich","December 22, 2024"
71,5,"Spaghetti Bolognese","January 8, 2025"
72,6,"Sushi Platter","January 19, 2025"
73,7,"Chocolate Milkshake","January 25, 2025"
74,1,"Double Cheeseburger","February 5, 2025"
75,2,"Grilled Chicken Wrap","February 15, 2025"
76,3,"Blueberry Pancakes","March 1, 2025"
77,4,"Strawberry Smoothie","March 12, 2025"
78,5,"Beef Steak","March 20, 2025"
79,6,"Vegetable Sandwich","March 24, 2025"
